,loser_season_winning_pct,loser_season_point_score,loser_season_point_allow,loser_end_streak
0,.846,448,276,W3
1,.929,468,233,W10
2,.929,402,144,W8
3,.857,379,133,L1
4,.714,299,221,W5
5,.769,315,174,W1
6,.786,336,218,L2
7,.857,296,168,W2
8,.714,310,195,W3
9,.786,356,276,W3
10,.821,305,176,W2
11,.857,274,148,L1
12,.750,384,208,W6
13,.563,323,309,L1
14,.750,384,222,L1
15,.750,421,304,W2
16,.778,198,131,W3
17,.875,541,332,W9
18,.875,513,298,W2
19,.688,362,290,W1
20,.688,378,327,L1
21,.700,379,288,W2
22,.700,379,288,W2
23,.688,362,226,L1
24,.813,428,263,L1
25,.813,458,318,L1
26,.688,381,283,L1
27,.750,329,242,W4
28,.688,381,306,W2
29,.688,407,327,L1
30,.688,418,313,W1
31,.813,422,282,W5
32,.875,442,289,W9
33,.813,392,324,W4
34,.750,328,246,W5
35,.875,503,273,W6
36,.688,450,304,W2
37,.688,325,304,W3
38,.813,386,260,L2
39,.813,454,271,L1
40,.812,427,255,L1
41,1.000,589,274,W16
42,.563,427,426,W1
43,.875,416,307,L2
44,.750,375,232,W2
45,.813,513,342,W8
46,.719,397,273,W1
47,.688,381,306,W2
48,.750,394,254,W6
49,.938,500,308,W1
50,.688,540,406,W4
51,.813,458,296,W3
52,.813,527,384,W2
53,.813,479,310,W2
